epoch,train_loss,step
0,-2.152937889099121,99
1,-2.4748682975769043,199
2,-2.6173956394195557,299
3,-2.7083969116210938,399
4,-2.772151231765747,499
5,-2.8212456703186035,599
6,-2.8573732376098633,699
7,-2.8810393810272217,799
8,-2.8996007442474365,899
9,-2.91764760017395,999
10,-2.922095537185669,1099
11,-2.916084051132202,1199
12,-2.9274814128875732,1299
13,-2.923081398010254,1399
14,-2.9287619590759277,1499
15,-2.9341089725494385,1599
16,-2.9393324851989746,1699
17,-2.942084550857544,1799
18,-2.935422420501709,1899
19,-2.9421677589416504,1999
20,-2.943882465362549,2099
21,-2.9445509910583496,2199
22,-2.950129747390747,2299
23,-2.942518711090088,2399
24,-2.9585933685302734,2499
25,-2.936464309692383,2599
26,-2.9556517601013184,2699
27,-2.943251371383667,2799
28,-2.953826904296875,2899
29,-2.9579601287841797,2999
30,-2.9565610885620117,3099
31,-2.9469640254974365,3199
32,-2.9536526203155518,3299
33,-2.963958978652954,3399
34,-2.9708480834960938,3499
35,-2.9509193897247314,3599
36,-2.9643332958221436,3699
37,-2.959887981414795,3799
38,-2.9531006813049316,3899
39,-2.9746735095977783,3999
40,-2.962280035018921,4099
41,-2.9640398025512695,4199
42,-2.959808588027954,4299
43,-2.9561920166015625,4399
44,-2.9575281143188477,4499
45,-2.976452589035034,4599
46,-2.962214708328247,4699
47,-2.960467576980591,4799
48,-2.9615237712860107,4899
49,-2.971461772918701,4999
