step,train_loss,epoch
99,9.903329849243164,0
199,9.0958890914917,1
299,8.848185539245605,2
399,8.777408599853516,3
499,8.821192741394043,4
599,8.775918960571289,5
699,8.74371337890625,6
799,8.733332633972168,7
899,8.708436965942383,8
999,8.793449401855469,9
1099,8.676628112792969,10
1199,8.717083930969238,11
1299,8.668118476867676,12
1399,8.689264297485352,13
1499,8.638437271118164,14
1599,8.720465660095215,15
1699,8.718547821044922,16
1799,8.683828353881836,17
1899,8.613811492919922,18
1999,8.669585227966309,19
2099,8.646242141723633,20
2199,8.661748886108398,21
